KEY THEMES,OPPORTUNITIES FOR GROWTH,BEHAVIORS TO LOOK FOR,RESOURCES,POWERFUL COACHING QUESTIONS,TIPS
Understanding the business,Business insight,Doesn't understand how businesses work,Book: FYI For Your Improvement - Ch. 5 (pg. 52),What mental models do you use to stay on top of the business?,Identify someone you think is really good at this within your business unit and ask them what mental models or tools they use
Making complex decisions,Manages complexity,Misses the complexity of issues and force fits solutions,Book: FYI For Your Improvement - Ch. 8 (pg. 92),How do you prioritize and make decisions?,Develop a framework for prioritizing and ultimately saying "yes" and "no" to work more thoughtfully
Taking initiative,Action oriented,Slow to act on an opportunity,Book: FYI For Your Improvement - Ch. 2 (pg. 16),What opportunities do you see that you haven't acted on?,Identify trusted colleagues to follow up with and engage in ongoing discussions about opportunities
Building collaborative relationships,Collaborates,Overlooks opportunities to collaborate with others,Book: FYI For Your Improvement - Ch. 6 (pg. 64),How can you build more collaborative relationships?,Build hard checkpoints to ensure conclusions are not rushed
Communicating effectively,Clear communication,Tends to communicate the same way without adjusting to audience,Book: FYI For Your Improvement - Ch. 7 (pg. 78),How can you adjust your communication style?,Make sure to adjust communications to your audience and provide context
Understanding the business,Business insight,Doesn't understand how businesses work,Book: FYI For Your Improvement - Ch. 5 (pg. 52) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,"Identify someone you think is really good at this within your business unit and ask them what mental models or tools they use to stay on top of the business. ""What would you want any person that wants to understand the ubsiness better to be thinking about?""",Identify some sort of ongoing periodical or blog specific to your industry that is something you're comfortable reading on a daily basis and that you're interested in reading. Pick the right level of covering something interesting.,Do a search term for your company and search with competitive analysis. Will often raise big picture things of how the company compares to others. 
,,"Not up to date on current policies, trends, and info within the organization",Book - Survival of the Savvy —> https://www.amazon.com/Survival-Savvy-High-Integrity-Political-Tactics/dp/0743262549,,Sometimes people get constructive feedback on understanding the business because they understand the company on a thematic level but not on a metric level. Make sure you're comfortable with the internal algebra side of the business.,,
,,Is unaware of how strategies and tactics work in the business world,"""Power"" by Jeffery Pfeffer and Political Savvy by Joel DeLuca. The first is more hard-nosed and aggressive, the second is softer and strives to be more principles-based. The combination of the two provides
a useful continuum for how you might want to tweak your own methods.",,,,
,,"Depends on business knowledge and skills at the expense of personal, interpersonal, and leadership skills",,,,,
,Customer focus,Is unaware of customer expectations,Book: FYI For Your Improvement - Ch. 11 (pg. 128) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,,,
,,"Conducts work from an internal, operational point of view",,,,,
,,Prioritizes information about customers over other important business realities,,,,,
,,Makes promises to the customers that the organization is unable to keep,,,,,
,Financial acumen,Unfamiliar with financial terms or unclear about cause-and-effect relationships among business functions and performance,Book: FYI For Your Improvement - Ch. 17 (pg. 202) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,,,
,,Does not keep financial impact in mind when drawing conclusions,,,,,
,,May sacrifice long-term business objectives for short-term gains,,,,,
,Tech savvy,,,,,,
,Strategic thinking,,,,"Read something that gives you a mental model of what strategy means, as it's a pretty fluffy term to think about. Strategy is: externally focused, has a longer time horizon than whatever is the default for you or your team (years instead of months), needs to be focused on competitive forces due to its nature, you have to make choices and work on differentiation (can't say yes to everything). ",Purposely seek out futurist or future forecasts to see what other experts are saying will be happening in the future of your industry. Be aware of the trends and come up with a plan on how to approach them. ,
,,,,,,,
Making complex decisions,Manages complexity,Misses the complexity of issues and force fits solutions,Book: FYI For Your Improvement - Ch. 8 (pg. 92) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,"Develop a framework for prioritizing, and ultimately saying “yes” and “no” to work more thoughtfully.","Recognize situations where your ideals get in the way of the deal. No decision or solution in an organization is perfect, so think about entering into situations ready to negotiate, keeping the ideal in mind but flexing when necessary.","Your decisions and plans seldom need to be 100% thorough and complete. Try mapping out the next one or two logical steps, knowing that you can add additional steps and course correct as you go."
,,Doesn't gather enough information to assess a situation,,,,,
,,Relies on intuition,,,,,
,,Is caught off guard when problems surface without an obvious solution,,,,,
,,May wait too long to come to a conclusion,,,,,
,,May miss the big picture,,,,,
,,May make things more complex than necessary,,,,,
,Decision quality,Delays decision making or makes decisions based on incomplete data,Book: FYI For Your Improvement - Ch. 12 (pg. 140) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,"Be intentional about which approach to take in each situation, and think through ahead of time how best to show up and what the situation calls for. Some may require consulting, some a hard “no way,” and some more investigation. Make it a conscious choice. As you said, your set of responses comes down to: 1) that’s my call, 2) let me think about it, 3) a consultative approach to figure out what they want to get out of it and if there are feasible options.","Whenever possible, make the decision in the moment. Others are looking for that from you. You have enough experience to have an informed intuition in most situations. Balance asking for permission with asking for forgiveness after the fact. This is proactive influence rather than reactive; people are looking for more of you and your expertise. Share your views and tell your stories.",
,,Ignores different points of view or prioritizes short-term results over long-term,,,,,
,,Uses an overly methodological decision process where experience or intuition could work,,,,,
,Balances stakeholders,,,,,,
,Problem solving skills,,,,,,
,Analyzes information,,,,"Set aside time to analyze each deal and look for opportunities; have an idea or two in mind to work on so you don’t come across as only implementing (like in my example of Louis Armstrong, who practiced for weeks to perfect an impromptu solo).","Balance analysis with decisiveness by being intentional about how long to spend in analysis mode. Decide up front when a decision needs to be made and give yourself a deadline, whether that’s in weeks, days, or minutes.","When evaluating what appears to be a high-risk opportunity, assume that the opportunity will move forward and take five minutes to think through how to make it work. Leverage your exceptional planning and implementation skills to see if you can mitigate any of the riskier facets of the opportunity. Then go back and decide whether or not to pursue it."
,,,,,,,
Creating the new and different,Global perspective,Narrow thinking in solving problems,Book: FYI For Your Improvement - Ch. 18 (pg. 212) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,,,
,,Has a local-only perspective,,,,,
,,Focuses on the here and now instead of the future or global issues,,,,,
,,Overreaches or uses information from experiences that don't apply to the current situation,,,,,
,,Overemphasizes global issues and minimizes local needs,,,,,
,Cultivates innovation,Stays within comfort zone instead of experiementing with new ways of looking at things,Book/Audiobook: HBR’s 10 Must Reads on Innovation... —> https://www.amazon.com/dp/B00ATLM044,,Put yourself in a consultant mentality and work with your peer functions to identify areas to improve. Market some of the great process ideas your team has come up with and see where they might help other parts of the company.,,
,,Tends to be critical of others' original ideas,Book: FYI For Your Improvement - Ch. 19 (pg. 226) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,,,
,,Rejects the old too much and gravitates towards the new,,,,,
,,Takes too much time thinking of creative ideas instead of taking action,,,,,
,Strategic mindset,,,,"Keep your focus on results and on doing the right things for the firm, but make sure that you are also considering how your approach can be perceived by others. Review your upcoming work and projects for the next few months and identify situations where you can do a better job of positioning your impact to others. For instance, your strengths in planning and detail orientation might lead you to be the person who sends out notes and clarifies next steps from a large meeting but could get interpreted by others that your time is less valuable or that you are acting in a more administrative capacity than you actually are. In that case, you might purposefully enlist another team member for those tasks and be intentional and explicit in making your own follow up clearly bigger picture and strategic.",,
,Displays visionary thinking,,,,,,
,,,,,,,
Taking initiative,Action oriented,Slow to act on an opportunity,Book: FYI For Your Improvement - Ch. 2 (pg. 16) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,"Identify a couple of trusted colleagues to follow up with and engage in an ongoing discussion with them about
where they might perceive you as holding back or missing opportunities to have more of an impact. Sometimes
you don’t take opportunities because you aren’t aware they exist, and having more perspectives can help
heighten your radar in this area.",,
,,Spends too much time planning,,,,,
,,Waits for someone else to take action,,,,,
,,Pushes solutions before adequate analysis,,,,,
,,"Immediately attempts to tackle an issue, causing rework",,,,,
,,May ignore counsel from others,,,,,
,Resourcefulness,,,,,,
,,,,,,,
Managing execution,Directs work,Provides vague or incomplete instructions,Book: FYI For Your Improvement - Ch. 15 (pg. 178) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,"When a key stakeholder or partner shows disappointment or frustration with progress on a project you have
delegated to your team, make sure they don’t misunderstand your efforts to empower as not caring or unaware of
their concern. Show that you are engaged and ready to help turn things around, even as you refrain from simply
taking over from your team member.","Analyze the types of interactions where others experience you as needing approval or deferring to your manager. Identify as many as you can where you have the opportunity to show more authority and autonomy by removing that step. As we discussed, if you can establish yourself as having the ability to be the “final answer” on some work issues, it helps your positioning while also probably providing more efficiency and lightening the load for your manager as well.","Once you have a final draft for your strategy (strategies are never really final!), translate it for your team by articulating a charter: what role the team can play in helping the company achieve its goals. The connection between team success and company success can be very motivating as well by providing their work with meaning."
,,Delegate work without sufficient guidance,,,,,
,,Is overly directive and stifles creativity/initiative,,,,,
,,Pushes people too hard and asks them to work at their upper limit,,,,,
,Plans and aligns,Gets caught up in immediate needs without attneding to larger priorities,Book: FYI For Your Improvement - Ch. 25 (pg. 298) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,,,
,,Spends time and resources without a clear purpose,,,,,
,,Haphazardly tracks progress or performance,,,,,
,,Persistently follows plans with little room for change,,,,,
,,May struggle to consider the human element of the work,,,,,
,Optimizes systems,,"Stephen Guise’s Elastic Habits; How to Create Smarter
Habits That Adapt to Your Day",,It may sometimes be too easy to work harder when you could potentially work smarter. Look for parts of your current routine where you are putting in more effort than is deserved for the corresponding pay-off and look for better investments of your time.,,
,Delegates,,Book/Audiobook - HBR 20-Minute Manager: Delegating Work —> https://www.amazon.com/Delegating-Work-HBR-20-Minute-Manager/dp/1625272235,,"Try letting your direct reports take some issues and requests. Even when you know about more about the issue,
hold back and let others take care of it. Try this twice a week and evaluate how things work out.","Every once in a while, you will need to take the lead on a topic. Tell your team when you do need to do this, when
it’s an emergency. Make it a conscious choice to take over, not a reaction, then connect the dots for people so
they attribute it as a rare event rather than your usual mode of leading.","Delegate more and trust your team to get the work done and bring you in when necessary. Use this time to focus
on big-picture strategy and vision."
,,,"Book/Audiobook - If You Want It Done Right, You Don’t Have To Do It Yourself  —> https://www.amazon.com/Want-Done-Right-Dont-Yourself/dp/1884956327",,"Investing in people is a critical part of your job. This means seeking out ways to put individuals on your team in
the spotlight. It also means challenging them to do their best work before offering your help. Seek to be clear
about your standard for their success and to provide honest feedback when that standard is not met. Take
acceptable risks by NOT adding your fingerprints to a piece of work when it is not substantively additive.",,
,,,HBR’s “Make Time for Work that Matters” by Birkenshaw and Cohen.,,,,
,,,,,,,
Focusing on performance,Ensures accountability,Fails to accept responsibility,Book: FYI For Your Improvement - Ch. 1 (pg. 4) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,,,
,,Provides inadequate feedback,"Book/Audiobook: How Did That Happen?: Holding People Accountable for Results the Positive, Principled Way—> https://www.amazon.com/How-Did-That-Happen-Accountable/dp/1591844142",,,,
,,Prefers to be one of many accountable for a project,,,,,
,,May not give appropriate credit to others,,,,,
,,Too strict with accountability,,,,,
,,Too much focus on numbers and data,,,,,
,Drives results,,Survival of the Savvy: High-Integrity Political Tactics for Career and Company Success by Brandon and Seldman,,"Find political tactics that are aligned with your principles. You can be more savvy to others’ agendas, especially when those forces have a chance of impacting you and your world. You might consider reading Survival of the Savvy: High-Integrity Political Tactics for Career and Company Success by Brandon and Seldman. The focus of their work is how to have an impact without selling out your values.",,
,Anticipates customer needs,,,,,,
,Ensures quality performance,,,,"Follow up with PMs after one of your subordinates presents. Call to follow up on a report to check in, see if there is
anything you need to add, and get the PM’s reactions. This is a way of balancing empowerment of your team
members with ensuring quality.",Prime your stakeholders by telling them what you’re working on. Solicit their ongoing feedback so you (and they) can mark your progress and reinforce the changes you are making.,
,,,,,,,
Building collaborative relationships,Collaborates,Overlooks opportunities to collaborate with others,Book: FYI For Your Improvement - Ch. 6 (pg. 64) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,"You may benefit from building a hard checkpoint to ensure your conclusions are not rushed. This could be a
person who helps you objectively analyze if you have gathered sufficient insight to make a judgment. It could also
be a series of questions that you require honest answers from yourself before you commit. The very presence of
this check and balance signals to your peers that being fair and deliberate are values to which you aspire.",,
,,Values own interests above others',,,,,
,,Prefers to work alone and be accountable for individual contributions,,,,,
,,"Overly consensus driven, struggles to make decisions in a timely manner",,,,,
,,May be too accommodating,,,,,
,,May be perceived as failing to stand up for own beliefs,,,,,
,Builds organizational relationships,,,,"Seize opportunities to build relationships with peers, MDs, and leaders on the public and private side. Look for
openings to “offer the first favor” as you enter into mutually beneficial relationships across the firm.","Your peers and immediate supervisor want to see you succeed and find fulfillment at work. Your many allies are
more likely to feel honored than annoyed if you invite them into your learning process. Be strategic in managing
your development by inviting others to help you clarify what leadership at the next level looks like for you. Merely
asking for help builds swift trust, and buys you grace when harder discussions are needed later on.","Invest time building 1x1 relationships with senior executives whose support is crucial to the success of your efforts. Create an influence map to identify key relationships and the strategies you will use to build allies and
sponsors."
,,,,,"Consider looking for a mentor or two within the firm. This will shorten your learning curve, and asking for help and
guidance is a smart move.",,
,Manages conflict,Avoids conflict,Book: FYI For Your Improvement - Ch. 9 (pg. 104) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,,,
,,Puts people on the defensive,eBook: Difficult People: Ultimate Dealing With Difficult People Guide!… —> https://www.amazon.com/Difficult-People-Relationship-Aggressive-Negativity-ebook/dp/B00MXOOMKU,,,,
,,Allows conflicts to cause massive disruption in the organization,"Book/Audiobook: People Skills: How to Assert Yourself, Listen to Others, and Resolve Conflicts —> https://www.amazon.com/People-Skills-Yourself-Resolve-Conflicts/dp/067162248X",,,,
,,May be seen as meddling in others' issues,Video - Dare to Disagree —> https://www.ted.com/talks/margaret_heffernan_dare_to_disagree,,,,
,,Too eager to engage others in debate,,,,,
,Interpersonal savvy,Builds few relationships or engages with people in immediate work area only,Book: FYI For Your Improvement - Ch. 20 (pg. 238) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,"If you found it especially hard to work with one particular executive, it is often a useful exercise to frame their choices
and behavior as being based on good intentions, reasonable judgment, and general competence even when you
might have clear evidence to the contrary. It is easier to trust when you have top of mind reasons to more fully
value the other person.","Not all stakeholders are equally influential. Part of your role involves navigating the internal politics of the
organization, understanding and appealing to the right people. ",
,,Shows little interest in others' needs or expresses points of view in a blunt/insensitive manner,,,,,
,,Too focused on understanding group dynamics rather than getting results,,,,,
,,Makes ineffective decisions due to need to be liked,,,,,
,Builds networks,Has difficulty knowing who to contact for resources or knowledge,Book: FYI For Your Improvement - Ch. 21 (pg. 250) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,Tap into the wisdom of senior leaders to deepen your knowledge of your company and broaden your network of relationships. Don’t hesitate to ask for help and advocacy. Trust that you are well regarded and someone that the firm wants to see succeed over the long term.,Establish quarterly meetings with a variety of stakeholders to broaden and deepen your internal network.,"Ironically, speaking at outside conferences will help spread the word as well as it increases your own professional brand
and exposure."
,,Doesn't tap into networks beyond own immediate area to exchange ideas,,,"This is about being intentional (not manipulative) with your network. Map out who you need to have on board with your ideas to move them forward, who the key influencers are. Look to Sue here for additional insights around informal sources of influence. You have excellent relationships skills, so leverage those to think through how to connect with each one of those influencers and pull them into your planning processes.",Be intentional about your network. Think through how to connect with each one of those influencers and how to build trust with them.,"Don’t think about changing yourself or your natural style. Instead, think about changing how your behaviors are framed and perceived by others. Let others know why you’re doing what you are doing, the reasons behind your decisions and plans, so they don’t inaccurately interpret by themselves."
,,Relies on networking at the expense of other skills or priorities,,,,,
,,May be seen as using networks solely for own advantage without reciprocating,,,,,
,,,,,,,
Optimizing diverse talent,Attracts top talent,Haphazardly selects talent for the organization,Book: FYI For Your Improvement - Ch. 4 (pg. 38) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,Talk to people that you respect that are diverse from you in different ways and askt hem about the networks and communities they're involved in that you're not and ask for an introduction.,"Do your homework. If you want to recruit from a historically black college, understand more than just that phrase to learn more about the types of people who went there and what they may be interested in or not. ",Anchoring. Try to find a couple of real life examples of people who are in the position of people you may want to recruit and get insight on their experience. 
,,Is unclear about selection criteria,,,,,
,,Selects people similar to self,,,,,
,,Fails to get people into roles quickly enough due to overanalyzing,,,,,
,,"May overlook slow starters and quiet, less expressive talent",,,,,
,Develops talent,Doesn't take the time to work on development of others,Book/Audiobook: The Leadership Engine: Building Leaders At Every Level —> https://www.amazon.com/dp/B000FC12K0,,"Have a career discussion with each member of your team. Find out what are they trying to accomplish and what
do they want to know next, then use that information to assign work and projects in a way that helps them develop
those capabilities.","Make sure you are giving your team regular feedback on performance and improvement. They value your
mentoring and skill building a great deal. Also, be sure they are aware of any training that is available for them.","Tune in to individual needs and differences (not just the technical ones, which you are already effective at). Each
person has a unique set of motivations and values, so to be optimally effective, you need to vary your management style based on each individual. Some team members are looking for more coaching, for example, some more empowerment, some more social connection."
,,Doesn't make use of available organization resources and systems to develop others,Book: FYI For Your Improvement - Ch. 13 (pg. 150) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,,,
,,Concentrates on the development of a few at the expense of many,,,,,
